Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2006-01-04 12:00:00,277.36832,0.5133894,0.2576188057985366,4.555555555555555,18.0
2006-01-05 12:00:00,277.562,0.103083685,0.37009297721322837,4.55,20.0
2006-01-06 12:00:00,277.07,0.06001282,0.2780287874302904,4.0,2.0
2006-01-16 12:00:00,275.445,0.14500427,0.21181242099078373,5.0,2.0
2006-01-19 12:00:00,276.81284,0.40780738,0.27286261754961566,4.714285714285714,7.0
2006-01-20 12:00:00,276.41,0.31315967,0.24881788832994517,4.666666666666667,3.0
2006-01-21 12:00:00,277.2814,0.49322486,0.24702892923668762,4.9714285714285715,35.0
2006-01-22 12:00:00,277.04834,0.41022226,0.4632792775415442,4.833333333333333,6.0
2006-01-23 12:00:00,275.96664,0.45734033,0.3183164247644994,3.5,6.0
2006-01-24 12:00:00,276.45364,0.26101977,0.23108008652767942,4.181818181818182,11.0
2006-01-26 12:00:00,276.08,0.9304951,0.4898970658226991,4.388888888888889,18.0
2006-01-29 12:00:00,274.16626,1.1419262,0.19236761549193912,2.740740740740741,27.0
2006-01-30 12:00:00,276.66193,0.52228737,0.21212687785230588,4.6923076923076925,26.0
2006-02-01 12:00:00,271.8033,0.29948613,0.16900592316056234,1.0,3.0
2006-02-05 12:00:00,276.66,0.0,0.51500004529953,4.0,1.0
2006-02-06 12:00:00,276.37857,0.32691118,0.5466630258623513,4.571428571428571,7.0
2006-02-09 12:00:00,275.91498,0.7849884,0.5343033239647854,5.0,2.0
2006-02-11 12:00:00,276.246,0.6151982,0.3611737289184582,4.35,40.0
2006-02-12 12:00:00,275.84,0.0,0.4320000112056732,4.0,1.0
2006-02-13 12:00:00,276.35,0.13927822,0.2603773063787053,4.0,3.0
2006-02-17 12:00:00,274.59732,0.96141344,0.26965486015503715,3.066666666666667,15.0
2006-02-27 12:00:00,276.41074,0.62543803,0.34426045532177435,4.7,40.0
2006-03-01 12:00:00,276.63998,0.22172621,0.46635245964926836,4.0,5.0
2006-03-02 12:00:00,272.635,1.3050079,0.34708645846462427,2.0,2.0
2006-03-11 12:00:00,276.155,0.5249939,0.3515174443147456,3.0,2.0
2006-03-14 12:00:00,277.05664,0.06549092,0.3710655943805936,4.0,3.0
2006-03-15 12:00:00,274.8675,1.330288,0.21823972072376274,2.607142857142857,28.0
2006-03-18 12:00:00,276.40814,0.19838166,0.18270468885353,4.444444444444445,27.0
2006-03-20 12:00:00,277.90466,0.2740791,0.2601795664192077,4.066666666666666,15.0
2006-03-21 12:00:00,274.18,0.0,0.24900001287460327,1.0,1.0
2006-03-22 12:00:00,278.18832,0.41611332,0.3347840264972392,4.166666666666667,6.0
2006-03-27 12:00:00,276.39252,2.5351372,0.20770519359170783,2.5555555555555554,8.0
2006-03-31 12:00:00,278.87045,1.1527328,0.2580781369934938,3.9545454545454546,22.0
2006-04-02 12:00:00,279.68857,0.54301935,0.2619242119716039,4.571428571428571,14.0
2006-04-03 12:00:00,278.35046,1.3975893,0.30705442159810453,4.090909090909091,22.0
2006-04-04 12:00:00,280.20358,0.49112162,0.3542790611400981,4.892857142857143,28.0
2006-04-06 12:00:00,280.38998,0.0,0.6110000014305115,4.0,1.0
2006-04-07 12:00:00,280.16934,0.72072035,0.34056049460777876,4.625,16.0
2006-04-08 12:00:00,280.39056,0.58781135,0.24762662635612617,4.588235294117647,17.0
2006-04-18 12:00:00,281.7932,0.8140095,0.47773082342370005,4.52,25.0
2006-04-19 12:00:00,282.47894,0.994602,0.4028345149752888,4.447368421052632,38.0
2006-04-20 12:00:00,283.29807,0.89625424,0.3009159868562457,4.884615384615385,26.0
2006-04-21 12:00:00,284.38855,1.1329494,0.18445046703401913,4.8,35.0
2006-04-22 12:00:00,283.08066,1.3419026,0.3115923754322064,2.9,30.0
2006-04-23 12:00:00,283.1364,0.8942658,0.3253605800416374,4.785714285714286,14.0
2006-04-24 12:00:00,284.49765,0.75947654,0.2955111372932085,4.588235294117647,17.0
2006-05-01 12:00:00,274.78,0.0,0.2980000078678131,1.0,1.0
2006-05-04 12:00:00,286.5035,0.66680175,0.20760335871285837,4.75,20.0
2006-05-06 12:00:00,286.83142,0.54620355,0.44253374131534196,4.428571428571429,21.0
2006-05-07 12:00:00,286.9417,1.0453091,0.3082928596238107,4.521739130434782,23.0
2006-05-08 12:00:00,278.91,0.0,0.40400001406669617,1.0,1.0
2006-05-10 12:00:00,285.20663,0.2946632,0.7611088817880143,4.0,3.0
2006-05-11 12:00:00,285.73422,1.1666566,0.32189661982168305,4.425,40.0
2006-05-14 12:00:00,285.8745,0.95499223,0.5836811739620886,4.045454545454546,22.0
2006-05-17 12:00:00,283.1309,1.5847945,0.37389961531003574,1.0,11.0
2006-05-19 12:00:00,286.55624,0.31188896,0.6379919965293968,4.375,8.0
2006-05-24 12:00:00,287.19086,0.97218835,0.3937625821651823,4.130434782608695,23.0
2006-05-30 12:00:00,284.51785,0.64655465,0.5739628154597176,2.7857142857142856,14.0
2006-06-02 12:00:00,284.69687,0.370819,0.3785256108998327,1.8125,16.0
2006-06-06 12:00:00,289.44,0.5150812,0.7790680690229709,4.0,4.0
